token_tikuna,token_oral,token_pos,token_spa,dic_entry,example,example_tikuna,example_spanish
a1 ,(a³⁵),interj., pues ,"a1 (a³⁵) interj. pues A, tamanüxü chacuax.  Pues, yo no sé.","A, tamanüxü chacuax.  Pues, yo no sé.","A, tamanüxü chacuax.","Pues, yo no sé."
a2 ,(a⁴),conj., ,"a2 (a⁴) conj. Se usa para conectar sustantivos, pronombres y adjetivos  en tiempo presente o futuro.  Véanse i, ya, ga","Se usa para conectar sustantivos, pronombres y adjetivos  en tiempo presente o futuro.",,
ã ,(ã⁴),s.n., zancudo ,ã (ã⁴) s.n. zancudo Ngẽma ã rü choxü̃ napai.  Ese zancudo me picó.,Ngẽma ã rü choxü̃ napai.  Ese zancudo me picó.,Ngẽma ã rü choxü̃ napai.,Ese zancudo me picó.
ããcuweü̃xü̃ ,(ã³ã³cu⁵we³ü̃x³ü²),s.n.,  cargador,ããcuweü̃xü̃ (ã³ã³cu⁵we³ü̃x³ü²) s.n.  cargador,,,
ããcuxü̃ ,(ã³ã³cux³ü²),adj., lleno ,ããcuxü̃ (ã³ã³cux³ü²) adj. lleno Ngẽma diẽruchixü̃ i ããcuxü̃ rü choxǘ ̃̃  ínangu. Esa billetera llena se me cayó.,Ngẽma diẽruchixü̃ i ããcuxü̃ rü choxǘ ̃̃  ínangu. Esa billetera llena se me cayó.,Ngẽma diẽruchixü̃ i ããcuxü̃ rü choxǘ ̃̃  ínangu.,Esa billetera llena se me cayó.
ãátüxü̃ ,(ã³a¹tüx⁵ü̃³),adj., hojoso ,ãátüxü̃ (ã³a¹tüx⁵ü̃³) adj. hojoso Nataxuma ga nanetü ga ãátüxü̃ yerü  naiyüxü nanangõ̱ xatü. No había  planta hojosa porque las curuhuinses  habían comido las hojas.,Nataxuma ga nanetü ga ãátüxü̃ yerü  naiyüxü nanangõ̱ xatü. No había  planta hojosa porque las curuhuinses  habían comido las hojas.,Nataxuma ga nanetü ga ãátüxü̃ yerü  naiyüxü nanangõ̱ xatü.,No había  planta hojosa porque las curuhuinses  habían comido las hojas.
abéna ,(a³be²na⁵),s.n., avena ,abéna (a³be²na⁵) s.n. avena Abéna rü  lechimaxã tanaxüéxü̃ nax ngẽmaãcü yaxaxüxü̃cax̱ . Mezclamos la avena con  leche para tomarla.,Abéna rü  lechimaxã tanaxüéxü̃ nax ngẽmaãcü yaxaxüxü̃cax̱ . Mezclamos la avena con  leche para tomarla.,Abéna rü  lechimaxã tanaxüéxü̃ nax ngẽmaãcü yaxaxüxü̃cax̱ .,Mezclamos la avena con  leche para tomarla.
abióũ ,(a³bi³o²ũ⁵),s.m., avión ,abióũ (a³bi³o²ũ⁵) s.m. avión Yima abióũ rü narüngu. Ese avión se cayó.,Yima abióũ rü narüngu. Ese avión se cayó.,Yima abióũ rü narüngu.,Ese avión se cayó.
abióũcüra ,(a³bi³o²ũ⁵cü⁴ra³),s.n., cola ,abióũcüra (a³bi³o²ũ⁵cü⁴ra³) s.n. cola (de avión Nanachaxu i ngẽma  abióũcüra. Pintaron la cola de ese avión.,Nanachaxu i ngẽma  abióũcüra. Pintaron la cola de ese avión.,Nanachaxu i ngẽma  abióũcüra.,Pintaron la cola de ese avión.
abióũexmü ,(a³bi³o²ũ⁵ex̱ ⁵mü³),s.m., hélice  ,abióũexmü (a³bi³o²ũ⁵ex̱ ⁵mü³) s.m. hélice  (de avión) Yima abióũexmü rü  nanaporaxẽẽ La hélice del avión le da fuerza.,Yima abióũexmü rü  nanaporaxẽẽ\. La hélice del avión le da fuerza.,,
